	Restaurant Name	Rating	Number of Reviews	Price Range	Food Type	Number of Photos	Mon Hours	Tue Hours	Wed Hours	Thu Hours	Fri Hours	Sat Hours	Sun Hours
279	Grand Avenue Pizza	3.5	124	1.0	Pizza, Italian	57	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 1:00 am	10:30 am - 1:00 am	10:30 am - 1:00 am	10:30 am - 1:00 am	11:00 am - 12:00 am
280	Terrace Street Café	5	162	1.0	Sandwiches, Breakfast & Brunch	159	8:00 am - 4:00 pm	8:00 am - 4:00 pm	8:00 am - 4:00 pm	8:00 am - 4:00 pm	8:00 am - 4:00 pm	8:00 am - 4:00 pm	Closed
281	Pio Hot Bagels	3.5	32	1.0	Bagels, Delis	19	5:00 am - 6:00 pm	5:00 am - 6:00 pm	5:00 am - 6:00 pm	5:00 am - 6:00 pm	5:00 am - 6:00 pm	5:00 am - 4:00 pm	5:00 am - 2:00 pm
282	Papaya Dog	3.5	62	1.0	Hot Dogs	25							
283	Artichoke Basille's Pizza	4	3879	1.0	Pizza	1989	11:00 am - 5:00 am	11:00 am - 5:00 am	11:00 am - 5:00 am	11:00 am - 5:00 am	11:00 am - 5:00 am	11:00 am - 5:00 am	11:00 am - 5:00 am
284	Hastings Center Restaurant	2.5	33	1.0	Diners	5	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 9:30 pm
285	Lao Bei Fang Dumpling House	4	556	1.0	Chinese, Noodles	762	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
286	Jimmy's House	3.5	115	1.0	Chinese, Noodles	96	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	12:00 pm - 10:00 pm
287	Tommy's Grill & Pizza	2.5	93	1.0	Pizza	25	8:30 am - 2:00 am	8:30 am - 2:00 am	8:30 am - 2:00 am	8:30 am - 2:00 am	8:30 am - 3:59 am	8:30 am - 3:59 am	8:30 am - 2:00 am
288	Liberty Deli & Pizza	2.5	48	1.0	Delis, Pizza	54	6:00 am - 6:00 pm	6:00 am - 6:00 pm	6:00 am - 6:00 pm	6:00 am - 6:00 pm	6:00 am - 6:00 pm	7:00 am - 6:00 pm	8:00 am - 4:00 pm
289	NY Pizza Suprema	4	1892	1.0	Pizza	1387	10:30 am - 12:00 am	10:30 am - 12:00 am	10:30 am - 12:00 am	10:30 am - 12:00 am	10:30 am - 12:00 am	10:30 am - 12:00 am	10:30 am - 12:00 am
290	Mi Gente Cafe	4.5	78	1.0	Latin American, Caribbean	61	6:00 am - 6:00 pm	6:00 am - 6:00 pm	6:00 am - 6:00 pm	6:00 am - 6:00 pm	6:00 am - 6:00 pm	6:00 am - 6:00 pm	Closed
291	Lucky Foo	4	87	1.0	Chinese, Noodles	115	Closed	Closed	Closed	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 9:00 pm
292	Sacco Pizza	4	388	1.0	Pizza	122	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm
293	Tian Jin Dumpling House	4.5	267	1.0	Chinese, Food Stands	458	10:00 am - 9:30 pm	10:00 am - 9:30 pm	10:00 am - 9:30 pm	10:00 am - 9:30 pm	10:00 am - 9:30 pm	10:00 am - 9:30 pm	10:00 am - 9:30 pm
294	Mexico Deli Restaurant	4.5	176	1.0	Mexican, Delis, Juice Bars & Smoothies	229	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm
295	McDonald's	1.5	51	1.0	Fast Food, Burgers, Coffee & Tea	85							
296	Los Tres Chilitos	4	194	1.0	Mexican	178	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm
297	Burger King	2.5	18	1.0	Fast Food, Burgers	54							
298	Pita Palace	5	216	1.0	Middle Eastern, Falafel	228	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 9:30 pm
299	Pho Hana	3.5	79	1.0	Vietnamese	70							
300	Amélie	4.5	2556	2.0	French, Wine Bars	2393	4:00 pm - 12:00 am	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 2:00 am	11:30 am - 2:00 am	11:00 am - 12:00 am
301	Otis	5	235	2.0	American (New), Cocktail Bars	253	Closed	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 1:00 am	12:00 pm - 4:00 pm	12:00 pm - 4:00 pm
302	Anytime	5	874	2.0	Korean, American (New), Tapas/Small Plates	2373	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 2:00 am	6:00 pm - 3:30 am	6:00 pm - 3:30 am	6:00 pm - 2:00 am
303	Mominette	4	642	2.0	French, Cocktail Bars, Seafood	514	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 11:30 pm	10:30 am - 11:30 pm	10:30 am - 10:30 pm
304	Bea	4	2366	2.0	American (New), Cocktail Bars	2070	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	11:00 am - 4:00 pm	11:00 am - 4:00 pm
305	Mori	4.5	81	2.0	Asian Fusion, French, Izakaya	274	11:30 am - 3:30 pm	11:30 am - 3:30 pm	11:30 am - 3:30 pm	11:30 am - 3:30 pm	11:30 am - 3:30 pm	11:30 am - 4:00 pm	11:30 am - 4:00 pm
306	French Louie	4	357	2.0	French	392	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:30 pm	10:00 am - 3:00 pm	10:00 am - 3:00 pm
307	Atrium Dumbo	3.5	651	2.0	American (New), French	772	11:30 am - 2:30 pm	11:30 am - 2:30 pm	11:30 am - 2:30 pm	11:30 am - 2:30 pm	11:30 am - 2:30 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
308	The Highwater	4	308	2.0	American (New), Hawaiian, Tiki Bars	724							
309	Fine Food Cuisine	4.5	56	2.0	American (New)	59	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 12:00 am	7:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 11:00 am
310	Travesias	4	467	2.0	Latin American	891	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	11:00 am - 11:00 pm
311	Tavern 157	4.5	347	2.0	Wine Bars, Asian Fusion, Tapas/Small Plates	958	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 3:00 am	4:00 pm - 3:00 am	12:00 pm - 2:00 am
312	The Hill Bistro	4.5	166	2.0	American (Traditional), Wine Bars	339	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 2:00 am	11:00 am - 4:00 pm	11:00 am - 4:00 pm
313	DiWine	4	761	2.0	American (New)	1099	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 4:00 am	11:00 am - 4:00 am	11:00 am - 2:00 am
314	Les Enfants de Boheme	4.5	220	2.0	French, Cocktail Bars, Wine Bars	266	11:45 am - 11:45 pm	11:45 am - 1:00 am	11:45 am - 2:00 am	11:45 am - 2:00 am	11:45 am - 3:00 am	10:00 am - 2:00 am	10:00 am - 12:00 am
315	Hudson Garden Grill	4	145	2.0	American (New)	353	Closed	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 5:00 pm	11:30 am - 5:00 pm
316	Trattoria Trecolori	4	2227	2.0	Italian	1496	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 11:15 pm	12:00 pm - 11:15 pm	12:00 pm - 10:30 pm
317	Tabaré	4	623	2.0	Latin American	532	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 11:00 pm
318	Moloko	4.5	159	2.0	Cocktail Bars, American (New), Beer, Wine & Spirits	74	12:00 pm - 2:00 am	12:00 pm - 2:00 am	12:00 pm - 2:00 am	12:00 pm - 2:00 am	12:00 pm - 4:00 am	12:00 pm - 4:00 am	12:00 pm - 2:00 am
319	Sojourn	4	600	2.0	American (New), Tapas/Small Plates, Breakfast & Brunch	320	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	12:00 pm - 3:30 pm	11:30 am - 4:00 pm	11:30 am - 4:00 pm
320	PMF Pardon My French	4	928	2.0	French, Cocktail Bars, Breakfast & Brunch	1331	5:30 pm - 2:00 am	5:30 pm - 2:00 am	5:30 pm - 2:00 am	5:30 pm - 4:00 am	5:30 pm - 4:00 am	11:00 am - 3:45 pm	11:00 am - 3:45 pm
321	Casa Del Chef	4.5	206	2.0	American (New), Desserts, Wine Bars	463	Closed	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 10:00 pm
322	District Social	4	630	2.0	Bars, American (New)	708	11:30 am - 2:00 am	11:30 am - 2:00 am	11:30 am - 2:00 am	11:30 am - 4:00 am	11:30 am - 4:00 am	11:30 am - 2:00 am	11:30 am - 12:30 am
323	Aurora	4	575	2.0	Italian, Comfort Food	448	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	11:00 am - 3:30 pm	11:00 am - 3:30 pm
324	The Saint Austere	4.5	373	2.0	Tapas Bars, Italian	282	6:00 pm - 11:00 pm	6:00 pm - 11:00 pm	6:00 pm - 11:00 pm	6:00 pm - 11:00 pm	6:00 pm - 12:00 am	6:00 pm - 12:00 am	6:00 pm - 11:00 pm
325	Le Sia	4	224	2.0	Cajun/Creole, Seafood, Chinese	474	4:30 pm - 1:00 am	4:30 pm - 1:00 am	4:30 pm - 1:00 am	4:30 pm - 1:00 am	4:30 pm - 2:00 am	12:00 pm - 2:00 am	12:00 pm - 12:00 am
326	Gyu-Kaku Japanese BBQ	4.5	481	2.0	Barbeque, Japanese, Asian Fusion	1464	11:30 am - 10:30 pm	11:30 am - 10:30 pm	11:30 am - 10:30 pm	11:30 am - 10:30 pm	11:30 am - 11:30 pm	11:30 am - 11:30 pm	11:30 am - 10:30 pm
327	Ambrosio Italian Restaurant & Banquet Hall	4.5	45	2.0	Italian	411	Closed	2:00 pm - 10:00 pm	2:00 pm - 10:00 pm	2:00 pm - 10:00 pm	2:00 pm - 11:00 pm	2:00 pm - 11:00 pm	1:00 pm - 9:00 pm
328	Modern Love Brooklyn	4.5	437	2.0	Salad, Cocktail Bars, American (Traditional)	673	Closed	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	10:00 am - 3:00 pm	10:00 am - 3:00 pm
329	Fishmarket Restaurant	4.5	531	2.0	Seafood, Chinese, Asian Fusion	539	6:00 pm - 11:30 pm	6:00 pm - 11:30 pm	6:00 pm - 11:30 pm	6:00 pm - 11:30 pm	6:00 pm - 11:30 pm	1:00 pm - 11:30 pm	1:00 pm - 11:30 pm
330	Cellar 335	4.5	468	2.0	Cocktail Bars, Tiki Bars, Tapas/Small Plates	817	Closed	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 1:00 am	5:00 pm - 1:00 am	Closed
331	Lillo Cucina Italiana	5	107	2.0	Cafes, Italian	131	Closed	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:30 pm	10:30 am - 9:30 pm	11:00 am - 8:30 pm
332	The Cabin NYC	4	120	2.0	American (New), Cocktail Bars, Breakfast & Brunch	204	Closed	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 2:00 am	11:00 am - 2:00 am	11:00 am - 12:00 am
333	Momofuku Nishi	4	562	2.0	Italian, American (New)	1700	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
334	Biyou	4	100	2.0	Cajun/Creole, Southern	163	Closed	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 9:00 pm
335	Legasea Seafood Brasserie	4	257	2.0	Seafood	771	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 10:00 pm
336	Lighthouse	4	253	2.0	Bars, Modern European, American (New)	127	Closed	11:00 am - 11:00 pm	11:00 am - 4:00 pm	11:00 am - 4:00 pm	11:00 am - 4:00 pm	12:00 pm - 4:00 pm	12:00 pm - 4:00 pm
337	Toloache 50	4	1858	2.0	Mexican	1348	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 10:00 pm
338	Pisticci	4	816	2.0	Italian, Breakfast & Brunch	424	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
339	Okonomi	4.5	440	2.0	Japanese, Seafood	989	9:00 am - 3:00 pm	9:00 am - 3:00 pm	9:00 am - 3:00 pm	9:00 am - 3:00 pm	9:00 am - 3:00 pm	9:00 am - 3:00 pm	9:00 am - 3:00 pm
340	BLVD Bistro	4	751	2.0	American (Traditional), Soul Food, Breakfast & Brunch	675	11:30 am - 3:30 pm	11:30 am - 3:30 pm	11:30 am - 3:30 pm	11:30 am - 3:30 pm	11:30 am - 3:30 pm	10:00 am - 4:00 pm	10:00 am - 4:00 pm
341	Aperitif Bistro Bayside	4	424	2.0	French, Bars, Caterers	757							
342	Risbo	4	142	2.0	French, Bars	196	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 10:30 pm
343	Hart's Restaurant	4.5	84	2.0	American (New)	89	Closed	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 11:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
344	Society Cafe	4	141	2.0	American (New), Cafes, Breakfast & Brunch	335	6:30 am - 11:00 pm	6:30 am - 11:00 pm	6:30 am - 11:00 pm	6:30 am - 11:00 pm	6:30 am - 11:00 pm	6:30 am - 11:00 pm	6:30 am - 10:00 pm
345	Pates Et Traditions	4.5	819	2.0	French, Desserts	817	12:00 pm - 10:00 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm
346	Patricia's	4	458	2.0	Pizza, Italian, Bars	378	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	12:00 pm - 11:00 pm
347	View of the World Terrace Club	4	150	2.0	American (New), Bars, Steakhouses	321	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 10:00 pm
348	Cabana	4	922	2.0	Latin American, Cuban, Caribbean	1106	11:30 am - 11:30 pm	11:30 am - 11:30 pm	11:30 am - 11:30 pm	11:30 am - 11:30 pm	11:30 am - 1:00 am	11:30 am - 1:00 am	11:30 am - 11:00 pm
349	Piccante	4.5	155	2.0	Italian	265	Closed	2:00 pm - 11:00 pm	2:00 pm - 11:00 pm	2:00 pm - 11:00 pm	2:00 pm - 11:00 pm	2:00 pm - 11:00 pm	2:00 pm - 11:00 pm
350	Acqua Restaurant NYC	4	357	2.0	Seafood, Italian, Wine Bars	340	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm
351	Angkor Cambodian Bistro	4.5	261	2.0	Cambodian, Salad, Seafood	534	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	4:00 pm - 10:00 pm
352	Lido	4	940	2.0	Italian, Breakfast & Brunch, Cocktail Bars	724	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	10:30 am - 11:00 pm	10:30 am - 10:00 pm
353	Hooked JC	4.5	476	2.0	Seafood, Salad, American (Traditional)	582	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 10:00 pm
354	Bricolage	4	450	2.0	Vietnamese, Gastropubs, Cocktail Bars	605	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
355	Table d'Hôte	4	145	2.0	French	136	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
356	Hao Noodle Chelsea	4.5	276	2.0	Chinese, Barbeque, Noodles	672	11:30 am - 2:30 pm	11:30 am - 2:30 pm	11:30 am - 2:30 pm	11:30 am - 2:30 pm	11:30 am - 2:30 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm
357	Osteria 106	4.5	93	2.0	Italian	51	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
358	Fish Cheeks	4.5	464	2.0	Seafood, Thai, Live/Raw Food	1626	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm
359	Da Claudio	4	419	2.0	Italian, Cocktail Bars	479	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm
360	Ruffian	4.5	192	2.0	Wine Bars, Tapas/Small Plates	237	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	3:00 pm - 10:00 pm
361	Trattoria Cerbone	3.5	45	2.0	Italian, Lounges	29	Closed	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	1:00 pm - 9:00 pm
362	Sons of Essex	4	1193	2.0	American (New), Bars, Breakfast & Brunch	955	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 4:00 am	11:00 am - 4:00 am	11:00 am - 7:00 pm
363	La Nonna Ristorante & Bar	4	275	2.0	Italian, Bars	342	Closed	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	12:00 pm - 11:30 pm	12:00 pm - 10:00 pm
364	Carmine's Italian Restaurant - Times Square	4	3571	2.0	Italian, Caterers, Venues & Event Spaces	3450							
365	Mariella	4.5	317	2.0	Italian, Gluten-Free, Salad	229	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 11:00 pm	11:00 am - 11:00 pm	10:30 am - 10:00 pm
366	Frankies 457 Spuntino	4	771	2.0	Italian, Sandwiches, Wine Bars	368	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 11:00 pm
367	Circulo Espanol	4.5	31	2.0	Spanish	99	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm
368	Rose Water	4	645	2.0	American (New), Breakfast & Brunch	334	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	9:30 am - 3:00 pm	9:30 am - 3:00 pm
369	The Castello Plan	4	316	2.0	American (New), Breakfast & Brunch, Cocktail Bars	232	4:00 pm - 1:00 am	4:00 pm - 1:00 am	4:00 pm - 1:00 am	4:00 pm - 1:00 am	4:00 pm - 1:00 am	11:00 am - 1:00 am	12:00 pm - 1:00 am
370	Daxi Sichuan 大喜	4	254	2.0	Szechuan	998	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
371	Imperial Palace	4	417	2.0	Seafood, Cantonese	932	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	1:00 pm - 10:00 pm
372	June	4	171	2.0	Wine Bars, Tapas/Small Plates, American (New)	187	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 1:00 am	2:00 pm - 1:00 am	2:00 pm - 12:00 am
373	Cafe Luluc	4	1340	2.0	French, Breakfast & Brunch, Cafes	1345	8:30 am - 3:30 pm	8:30 am - 3:30 pm	8:30 am - 3:30 pm	8:30 am - 3:30 pm	8:30 am - 3:30 pm	8:30 am - 4:30 pm	8:30 am - 4:30 pm
374	China Blue	4	662	2.0	Shanghainese, Dim Sum	1257	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 11:00 pm	11:30 am - 10:30 pm
375	Eataly NYC Flatiron	4	5368	2.0	Italian, Grocery, Cafes	8502	9:00 am - 11:00 pm	9:00 am - 11:00 pm	9:00 am - 11:00 pm	9:00 am - 11:00 pm	9:00 am - 11:00 pm	9:00 am - 11:00 pm	9:00 am - 11:00 pm
376	Mayfield	4	509	2.0	American (New), Breakfast & Brunch	437	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:30 pm	5:00 pm - 11:30 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
377	Chela Modern Mexican	4.5	367	2.0	Lounges, Mexican, Breakfast & Brunch	586	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am
378	Vite Vinosteria	4.5	558	2.0	Italian, Wine Bars	630	4:00 pm - 11:30 pm	4:00 pm - 11:30 pm	4:00 pm - 11:30 pm	4:00 pm - 11:30 pm	12:00 pm - 11:30 pm	12:00 pm - 11:30 pm	12:00 pm - 11:30 pm
379	Esme	4.5	321	2.0	American (New), Cocktail Bars	321	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm
380	Uncle Peter's	4	199	2.0	Italian, Spanish, American (New)	278	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:00 pm
381	Le Botaniste	4.5	116	2.0	Vegetarian, Vegan, Wine Bars	208	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm
382	RDV Rendezvous	4	153	2.0	French, Wine Bars, Desserts	170	12:00 pm - 10:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm
383	The Brazen Tavern	4.5	345	2.0	Bars, American (New)	354	4:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 1:00 am	12:00 pm - 1:00 am	12:00 pm - 1:00 am	12:00 pm - 1:00 am	12:00 pm - 12:00 am
384	L’Argot	4.5	39	2.0	Wine Bars, American (New)	67	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am
385	Sunday in Brooklyn	4	661	2.0	American (New), Breakfast & Brunch, Cocktail Bars	1564	8:30 am - 10:00 pm	8:30 am - 10:00 pm	8:30 am - 10:00 pm	8:30 am - 10:00 pm	8:30 am - 11:00 pm	8:30 am - 11:00 pm	8:30 am - 10:00 pm
386	Aunt Jake's	4	1340	2.0	Italian, Wine Bars, Pasta Shops	1505	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
387	Addictive Wine and Tapas Bar	4.5	189	2.0	Wine Bars, Tapas Bars, Breakfast & Brunch	328	Closed	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 1:00 am	4:00 pm - 1:00 am	4:00 pm - 11:00 pm
