	Restaurant Name	Rating	Number of Reviews	Price Range	Food Type	Number of Photos	Mon Hours	Tue Hours	Wed Hours	Thu Hours	Fri Hours	Sat Hours	Sun Hours
140	Saigon Shack	4	2310	1.0	Sandwiches, Coffee & Tea, Salad	2025	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 11:00 pm
141	Mekong Thai & Vietnamese Restaurant	3	350	1.0	Thai, Vietnamese	302	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm
142	Nuchas Greeley Square Park	3.5	56	1.0	Argentine, Food Stands	71	7:30 am - 8:00 pm	7:30 am - 8:00 pm	7:30 am - 8:00 pm	7:30 am - 8:00 pm	7:30 am - 8:00 pm	9:00 am - 7:00 pm	10:00 am - 7:00 pm
143	Bleecker Street Pizza	4	2216	1.0	Pizza, Italian	1168	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 3:00 am	10:00 am - 5:00 am	10:00 am - 5:00 am	10:00 am - 2:00 am
144	PQR	4	160	1.0	Pizza, Italian	175	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm
145	The Burrito Box	4	848	1.0	Mexican	201	11:00 am - 11:30 pm	11:00 am - 11:30 pm	11:00 am - 11:30 pm	11:00 am - 11:30 pm	11:00 am - 11:30 pm	11:00 am - 11:30 pm	11:00 am - 11:00 pm
146	Pho Hoai Restaurant	3.5	286	1.0	Vietnamese	256	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm
147	La Isla	2.5	27	1.0	Spanish	25							
148	Amy's Bread	4	1099	1.0	Bakeries, Sandwiches, Coffee & Tea	615	7:00 am - 9:00 pm	7:00 am - 9:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 9:00 pm
149	Great NY Noodle Town	3.5	1257	1.0	Cantonese, Noodles	1250	9:00 am - 4:00 am	9:00 am - 4:00 am	9:00 am - 4:00 am	9:00 am - 4:00 am	9:00 am - 4:00 am	9:00 am - 4:00 am	9:00 am - 4:00 am
150	Mike's Pizza	3.5	23	1.0	Italian, Pizza	8	11:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	11:00 am - 10:00 pm
151	Aman	4.5	28	1.0	Pakistani, Indian, Halal	56	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm
152	2 Bros Pizza	3.5	590	1.0	Pizza	179	10:00 am - 3:00 am	10:00 am - 3:00 am	10:00 am - 3:00 am	10:00 am - 3:00 am	10:00 am - 3:00 am	10:00 am - 3:00 am	10:00 am - 3:00 am
153	XO Kitchen	3.5	504	1.0	Asian Fusion, Dim Sum	955	8:30 am - 11:00 pm	8:30 am - 11:00 pm	8:30 am - 11:00 pm	8:30 am - 11:00 pm	8:30 am - 11:00 pm	8:30 am - 11:00 pm	8:30 am - 11:00 pm
154	Waldy's Wood Fired Pizza & Penne	4	796	1.0	Pizza, Italian	446	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm
155	Taco Bell	3	33	1.0	Fast Food, Tex-Mex, Mexican	53	7:00 am - 12:00 am	7:00 am - 12:00 am	7:00 am - 12:00 am	7:00 am - 1:00 am	7:00 am - 1:00 am	7:00 am - 1:00 am	7:00 am - 12:00 am
156	Papaya King	3.5	549	1.0	Hot Dogs	397	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am	9:00 am - 12:00 am
157	Royal Bangladesh Indian Restaurant	3	213	1.0	Indian, Bangladeshi	156	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 12:00 am
158	Xi'an Famous Foods	4	1594	1.0	Chinese, Burgers, Noodles	1661	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm
159	Rafiqi's	4.5	31	1.0	Mediterranean, Food Stands, Greek	20							
160	Gray's Papaya	3.5	1345	1.0	Hot Dogs, Juice Bars & Smoothies	829	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours
161	Pho Bang Restaurant	3.5	497	1.0	Vietnamese	518	10:00 am - 10:30 pm	10:00 am - 10:30 pm	10:00 am - 10:30 pm	10:00 am - 10:30 pm	10:00 am - 10:30 pm	10:00 am - 10:30 pm	10:00 am - 10:30 pm
162	Molino Rojo Restaurant	2.5	85	1.0	Latin American	56	6:00 am - 12:00 am	6:00 am - 12:00 am	6:00 am - 12:00 am	6:00 am - 12:00 am	6:00 am - 2:00 am	6:00 am - 2:00 am	6:00 am - 12:00 am
163	Hanabi	3.5	96	1.0	Sushi Bars	42	10:45 am - 10:30 pm	10:45 am - 10:30 pm	10:45 am - 10:30 pm	10:45 am - 10:30 pm	10:45 am - 10:30 pm	10:45 am - 10:30 pm	10:45 am - 10:30 pm
164	494 Chicken	4	40	1.0	Barbeque, American (Traditional), Chicken Wings	19	3:00 pm - 9:00 pm	3:00 pm - 9:00 pm	3:00 pm - 9:00 pm	3:00 pm - 9:00 pm	11:00 am - 11:00 pm	12:00 pm - 11:00 pm	2:00 pm - 9:00 pm
165	Alba Ristorante & Pizzeria	3.5	161	1.0	Pizza, Italian	207	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 11:00 pm
166	Xian Famous Foods	4	238	1.0	Chinese, Noodles	429	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:00 pm
167	Burger King	3	32	1.0	Burgers, Fast Food	32	6:00 am - 12:00 am	6:00 am - 12:00 am	6:00 am - 12:00 am	6:00 am - 12:00 am	6:00 am - 12:00 am	6:00 am - 12:00 am	7:00 am - 12:00 am
168	Bite	4	296	1.0	Salad, Mediterranean, Sandwiches	326	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 10:00 pm
169	Off The Wagon	3.5	614	1.0	Sports Bars, American (Traditional)	131	11:30 am - 4:00 am	11:30 am - 4:00 am	11:30 am - 4:00 am	11:30 am - 4:00 am	11:30 am - 4:00 am	11:30 am - 4:00 am	11:30 am - 4:00 am
170	Fifth Avenue Restaurant & Diner	3.5	131	1.0	Diners	60	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours
171	Little Purity	4	153	1.0	Diners, Breakfast & Brunch	91	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm
172	Rolly Kimbab	3.5	286	1.0	Korean	413	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm	6:00 am - 10:00 pm
173	Iggy's Pizzeria	3.5	87	1.0	Pizza, Italian	36	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	Closed	11:00 am - 11:00 pm
174	Thái Son	3.5	460	1.0	Vietnamese	620	10:30 am - 10:15 pm	10:30 am - 10:15 pm	10:30 am - 10:15 pm	10:30 am - 10:15 pm	10:30 am - 10:15 pm	10:30 am - 10:15 pm	10:30 am - 9:45 pm
175	Thái Son	3.5	820	1.0	Vietnamese	742	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm
176	Odessa Restaurant	3.5	354	1.0	Diners, Ukrainian, Greek	98	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours	Open 24 hours
177	City Cafe 風成	3	82	1.0	Cantonese, Hong Kong Style Cafe	120							
178	Crif Dogs	3.5	480	1.0	Hot Dogs	385	12:00 pm - 2:00 am	12:00 pm - 2:00 am	12:00 pm - 2:00 am	12:00 pm - 2:00 am	12:00 pm - 4:00 am	12:00 pm - 4:00 am	12:00 pm - 2:00 am
179	Manny's Restaurant BBQ & Deli	4	17	1.0	Barbeque, Spanish, Breakfast & Brunch	11	6:00 am - 7:30 pm	6:00 am - 7:30 pm	6:00 am - 7:30 pm	6:00 am - 7:30 pm	6:00 am - 7:30 pm	7:00 am - 7:30 pm	7:00 am - 8:30 pm
180	Smiling Pizza Restaurant	3.5	224	1.0	Pizza, Italian	74	10:00 am - 1:45 am	10:00 am - 1:45 am	10:00 am - 1:45 am	10:00 am - 1:45 am	10:00 am - 2:45 am	10:00 am - 2:45 am	11:00 am - 10:45 pm
181	Sunshine Grill & Restaurant	2.5	35	1.0	Indian, Afghan, Food	4							
182	McDonald's	1.5	8	1.0	Fast Food, Burgers, Coffee & Tea	44	6:00 am - 11:00 pm	6:00 am - 11:00 pm	6:00 am - 11:00 pm	6:00 am - 11:00 pm	6:00 am - 11:00 pm	6:00 am - 11:00 pm	6:00 am - 11:00 pm
183	Sbarro	2.5	67	1.0	Italian, Pizza	31							
184	New Fresco Tortillas	2.5	44	1.0	Mexican, Chinese	42	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	12:30 pm - 10:00 pm	12:30 pm - 10:00 pm
185	Food Gallery 32	4	799	1.0	Food Court	1497	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
